date,tic,close,volume,DBSCAN_Anomaly,OCSVM_Anomaly,IsolationForest_Anomaly,Autoencoder_Anomaly,stat_Anomaly
2016-11-18,QRTEB,11.54708195,0,0,0,0,0,0
2016-11-18,RGCO,13.05676556,2100,0,1,0,0,0
2016-11-18,STRS,19.75520515,4600,0,0,0,0,0
2016-11-18,SWKH,9.119999886,200,0,0,0,0,0
2016-11-18,TCI,11.93999958,500,0,0,0,0,0
2016-11-18,VABK,18.38723564,0,0,0,0,0,1
2016-11-18,VALU,14.30028534,1000,0,0,0,0,0
2016-11-21,ARL,6.519999981,400,0,0,0,0,0
2016-11-21,BH,285.2666626,4800,1,1,0,0,0
2016-11-21,CIX,7.705680847,900,0,0,0,0,0
2016-11-21,FDBC,18.08707428,900,0,0,0,0,0
2016-11-21,GEF,34.37191391,108400,0,0,0,0,0
2016-11-21,NATH,41.86245728,10700,0,0,0,0,0
2016-11-21,NKSH,24.57427406,4000,0,0,0,0,0
2016-11-21,NWFL,14.81204605,0,0,0,0,0,1
2016-11-21,PLBC,10.28066349,8900,0,0,0,0,0
2016-11-21,PNRG,52.18999863,0,0,0,0,0,0
2016-11-21,QRTEB,11.54708195,0,0,0,0,0,0
2016-11-21,RGCO,13.09364986,2400,0,0,0,0,0
2016-11-21,STRS,20.17463684,8000,0,0,0,0,0
2016-11-21,SWKH,9.25,93800,0,0,0,0,0
2016-11-21,TCI,11.93999958,0,0,0,0,0,0
2016-11-21,VABK,18.38723564,0,0,0,0,0,0
2016-11-21,VALU,14.30818558,1100,0,0,0,0,0
2016-11-22,ARL,6.519999981,0,0,0,0,0,0
2016-11-22,BH,277.0666809,5100,1,1,0,0,0
2016-11-22,CIX,7.809342384,1900,0,0,0,0,0
2016-11-22,FDBC,18.08707428,0,0,0,0,0,0
2016-11-22,GEF,34.55286407,79900,0,0,0,0,0
2016-11-22,NATH,41.66041565,5400,0,0,0,0,0
2016-11-22,NKSH,24.46664619,5900,0,0,0,0,0
2016-11-22,NWFL,14.86242867,5550,0,0,0,0,1
2016-11-22,PLBC,10.62478447,3100,0,0,0,0,0
2016-11-22,PNRG,52.18999863,0,0,0,0,0,0
2016-11-22,QRTEB,10.73666,100,0,0,0,0,0
2016-11-22,RGCO,12.98826313,1050,0,0,0,0,0
2016-11-22,STRS,20.21658134,4000,0,0,0,0,0
2016-11-22,SWKH,9.25,0,0,0,0,0,0
2016-11-22,TCI,11.94999981,700,0,0,0,0,0
2016-11-22,VABK,18.0194931,1050,0,0,0,0,0
2016-11-22,VALU,14.51360798,300,0,0,0,0,0
2016-11-23,ARL,6.519999981,0,0,0,0,0,0
2016-11-23,BH,279.3533325,3000,1,1,0,0,0
2016-11-23,CIX,7.843896866,1500,0,0,0,0,0
2016-11-23,FDBC,18.08707428,0,0,0,0,0,0
2016-11-23,GEF,35.05046082,142900,0,0,0,0,0
2016-11-23,NATH,38.79146194,13900,0,0,0,0,0
2016-11-23,NKSH,24.50252533,9600,0,0,0,0,0
2016-11-23,NWFL,14.86746597,1050,0,0,0,0,0
2016-11-23,PLBC,10.151618,8900,0,0,0,0,0
2016-11-23,PNRG,52.18999863,0,0,0,0,0,0
2016-11-23,QRTEB,10.48376179,1000,0,0,0,0,0
2016-11-23,RGCO,12.98826313,1650,0,0,0,0,0
2016-11-23,STRS,20.21658134,4900,0,0,0,0,0
2016-11-23,SWKH,8.949999809,1100,0,0,0,0,0
2016-11-23,TCI,11.94999981,600,0,0,0,0,1
2016-11-23,VABK,18.02685165,6300,0,0,0,0,0
2016-11-23,VALU,14.22917938,500,0,0,0,0,0
2016-11-25,ARL,6.630000114,1000,0,0,0,0,0
2016-11-25,BH,281.4666748,8700,1,1,0,0,0
2016-11-25,CIX,8.08577919,1000,0,0,0,0,0
2016-11-25,FDBC,18.35783768,150,0,0,0,0,0
2016-11-25,GEF,36.03810883,187700,0,0,0,0,0
2016-11-25,NATH,39.96328354,7000,0,0,0,0,0
2016-11-25,NKSH,25.14826965,6400,0,0,0,0,0
2016-11-25,NWFL,14.7868557,150,0,0,0,0,1
2016-11-25,PLBC,10.75383282,34300,0,0,0,0,0
2016-11-25,PNRG,52.18999863,0,0,0,0,0,0
2016-11-25,QRTEB,10.78838921,1000,0,0,0,0,0
2016-11-25,RGCO,12.88815403,6600,0,0,0,0,0
2016-11-25,STRS,20.80378342,8500,0,0,0,0,0
2016-11-25,SWKH,8.850000381,2100,0,0,0,0,0
2016-11-25,TCI,11.94999981,0,0,0,0,0,0
2016-11-25,VABK,18.05626869,630,0,0,0,0,0
2016-11-25,VALU,14.73482418,800,0,0,0,0,0
2016-11-28,ARL,6.670000076,1600,0,0,0,0,0
2016-11-28,BH,290.9533386,9900,1,1,1,0,0
2016-11-28,CIX,8.016672134,2300,0,1,0,0,0
2016-11-28,FDBC,18.40657234,300,0,0,0,0,0
2016-11-28,GEF,36.377388,185800,0,0,0,0,0
2016-11-28,NATH,39.68043137,6400,0,0,0,0,0
2016-11-28,NKSH,24.53840256,7300,0,0,0,0,0
2016-11-28,NWFL,14.7868557,0,0,0,0,0,0
2016-11-28,PLBC,11.31303406,6400,0,0,0,0,0
2016-11-28,PNRG,53.04999924,300,0,0,0,0,0
2016-11-28,QRTEB,11.18497753,3300,0,1,0,0,0
